code;nicknames
LEC;leclerc,charles,carletto,lecrec
SAI;sainz,carlos
VER;verstappen,max
PER;perez,sergio,checo
HAM;hamilton,lewis,lh
RUS;russell,george,gr
NOR;norris,lando,ln
RIC;ricciardo,daniel,danny,riccy
SCH;schumacher,mick,msc
MAG;magnussen,kevin,kev,kmag
ALO;alonso,fernando,nando,fernandoalonso
OCO;ocon,esteban,estaban,estebanocon,
VET;vettel,sebastian,seb,sebastianvettel
STR;stroll,lance,lancestroll
GAS;gasly,pierre,pierregasly
TSU;tsunoda,yuki,yukitsunoda
BOT;bottas,valtteri,valteri,valterri,botas,valtteribottas
ZHO;zhou,guanyu,guan,guanyuzhou
LAT;latifi,nicholas,nicky,nicholaslatifi
ALB;albon,alex,albono,alexalbon
PIA;piastri,oscar,piatri,pistri,piasti,paistri,oscarpiastri